folder,img_name,day,hour_UTC,azimuth_pixel_size,range_pixel_size,incidence_angle_deg,expo_greyscale,caldera_edgeN_x,caldera_edgeS_x,crater_outer_edgeN_x,crater_outer_edgeS_x,crater_inner_edgeN_x,crater_inner_edgeS_x,crater_topCone_edgeN_x,crater_topCone_edgeS_x,crater_bottom_edgeN_x,crater_bottom_edgeS_x,caldera_edgeN_y,caldera_edgeS_y,crater_outer_edgeN_y,crater_outer_edgeS_y,crater_inner_edgeN_y,crater_inner_edgeS_y,crater_topCone_edgeN_y,crater_topCone_edgeS_y,crater_bottom_edgeN_y,crater_bottom_edgeS_y
/Users/maxime/Project/Pick_Crater/pick_crater_2D/DATA_SAR_AMPLI_NYIR21_FOR_PICKING/Data/ALOS2A/,200730_crop_Thres_Crop.r4,20200730,22:20:29,13.06,8.58,40.18,1.0,78,78,102.0,102.0,90.0,89.0,98.0,98.0,105.0,105.0,21.0,128.0,37.0,112.0,65.0,81.0,67.0,81.0,71.0,75.0
/Users/maxime/Project/Pick_Crater/pick_crater_2D/DATA_SAR_AMPLI_NYIR21_FOR_PICKING/Data/ALOS2A/,210603_crop_Thres_Crop.r4,20210603,22:20:29,13.06,8.58,40.18,1.0,78,77,94.38460573862297,94.38460573862297,88.0,88.0,115.78259233940416,115.78259233940416,138.66761231128513,138.66761231128513,22.0,132.0,34.99234303215926,119.00765696784076,43.72128637059724,79.78560490045942,43.72128637059724,79.78560490045942,53.445635528330776,70.06125574272588
/Users/maxime/Project/Pick_Crater/pick_crater_2D/DATA_SAR_AMPLI_NYIR21_FOR_PICKING/Data/ALOS2D/,200306_crop_Thres_Crop.r4,20200306,09:41:00,13.0,8.6,41.0,1.0,84,84,62.0,60.0,87.0,88.0,103.0,97.0,117.0,119.0,25.0,123.0,48.0,72.0,55.0,60.0,62.0,88.0,63.0,78.0
/Users/maxime/Project/Pick_Crater/pick_crater_2D/DATA_SAR_AMPLI_NYIR21_FOR_PICKING/Data/ALOS2D/,210528_crop_Thres_Crop.r4,20210528,09:41:00,13.0,8.6,41.0,1.0,81,81,108.0,108.0,105.0,106.0,132.0,132.0,157.0,157.0,22.0,129.0,39.0,112.0,43.0,98.0,49.0,98.0,74.0,67.0
/Users/maxime/Project/Pick_Crater/pick_crater_2D/DATA_SAR_AMPLI_NYIR21_FOR_PICKING/Data/CSKA/,20210516.HH.mod_Thres_Crop.r4,20210516,04:03:41,2.26,1.25,34.95,1.0,423,429,519.0,515.0,489.0,488.0,519.0,511.0,522.0,521.0,147.0,763.0,213.0,675.0,406.0,499.0,410.0,500.0,438.0,465.0
/Users/maxime/Project/Pick_Crater/pick_crater_2D/DATA_SAR_AMPLI_NYIR21_FOR_PICKING/Data/CSKA/,20210523.HH.mod_Thres_Crop.r4,20210523,04:03:41,2.26,1.25,34.95,1.0,427,417,511.0,511.0,495.0,487.0,591.0,597.0,648.0,644.0,141.0,760.0,213.0,676.0,397.0,554.0,431.0,521.0,464.0,492.0
/Users/maxime/Project/Pick_Crater/pick_crater_2D/DATA_SAR_AMPLI_NYIR21_FOR_PICKING/Data/CSKA/,20210601.HH.mod_Thres_Crop.r4,20210601,04:03:41,2.26,1.25,34.95,1.0,412,402,529.0,528.0,505.0,512.0,732.0,733.0,876.0,870.0,144.0,762.0,215.0,681.0,333.0,664.0,368.0,576.0,439.0,494.0
/Users/maxime/Project/Pick_Crater/pick_crater_2D/DATA_SAR_AMPLI_NYIR21_FOR_PICKING/Data/CSKA/,20210608.HH.mod_Thres_Crop.r4,20210608,04:03:41,2.26,1.25,34.95,1.0,400,404,573.7662817025442,573.7662817025442,545.7662817025442,545.7662817025442,747.7286015681428,747.7286015681428,823.0,823.0,154.0,742.0,279.6460176991151,616.3539823008849,639.0,349.0,639.0,349.0,509.0,479.0
/Users/maxime/Project/Pick_Crater/pick_crater_2D/DATA_SAR_AMPLI_NYIR21_FOR_PICKING/Data/CSKA/,20210609.HH.mod_Thres_Crop.r4,20210609,04:03:41,2.26,1.25,34.95,1.0,417,424,534.0,534.0,491.0,538.0,661.0,661.0,855.0,855.0,146.0,760.0,216.0,690.0,331.0,647.0,353.0,647.0,448.0,530.0
/Users/maxime/Project/Pick_Crater/pick_crater_2D/DATA_SAR_AMPLI_NYIR21_FOR_PICKING/Data/CSKA/,20210703.HH.mod_Thres_Crop.r4,20210703,04:03:41,2.26,1.25,34.95,1.0,396,437,525.0,551.0,469.0,527.0,719.0,747.0,825.0,827.0,141.0,756.0,216.0,657.0,326.0,647.0,310.0,560.0,366.0,497.0
/Users/maxime/Project/Pick_Crater/pick_crater_2D/DATA_SAR_AMPLI_NYIR21_FOR_PICKING/Data/CSKD/,20210521.HH.mod_Thres_Crop.r4,20210521,15:37:30,2.21,0.93,26.09,1.0,463,510,510.0,506.0,491.0,516.0,555.0,566.0,649.0,666.0,607.0,987.0,744.0,884.0,803.0,852.0,854.0,897.0,852.0,908.0
/Users/maxime/Project/Pick_Crater/pick_crater_2D/DATA_SAR_AMPLI_NYIR21_FOR_PICKING/Data/CSKD/,20210522.HH.mod_Thres_Crop.r4,20210522,15:37:30,2.21,0.93,26.09,1.0,395,902,321.0,321.0,626.0,926.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Users/maxime/Project/Pick_Crater/pick_crater_2D/DATA_SAR_AMPLI_NYIR21_FOR_PICKING/Data/CSKD/,20210530.HH.mod_Thres_Crop.r4,20210530,15:37:30,2.21,0.93,26.09,1.0,449,424,652.0,652.0,627.0,614.0,912.0,912.0,1229.0,1229.0,603.0,1179.0,688.0,1094.0,767.0,1022.0,797.0,1022.0,894.0,895.0
/Users/maxime/Project/Pick_Crater/pick_crater_2D/DATA_SAR_AMPLI_NYIR21_FOR_PICKING/Data/CSKD/,20210607.HH.mod_Thres_Crop.r4,20210607,15:37:30,2.21,0.93,26.09,1.0,395,902,321.0,307.0,630.0,884.0,172.0,163.0,459.0,886.0,1203.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Users/maxime/Project/Pick_Crater/pick_crater_2D/DATA_SAR_AMPLI_NYIR21_FOR_PICKING/Data/CSKD/,20210615.HH.mod_Thres_Crop.r4,20210615,15:37:30,2.21,0.93,26.09,1.0,395,902,321.0,307.0,629.0,888.0,172.0,168.0,458.0,886.0,1185.0,902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Users/maxime/Project/Pick_Crater/pick_crater_2D/DATA_SAR_AMPLI_NYIR21_FOR_PICKING/Data/CSKD/,20210701.HH.mod_Thres_Crop.r4,20210701,15:37:30,2.21,0.93,26.09,1.0,395,902,321.0,307.0,634.0,889.0,175.0,166.0,459.0,887.0,1168.0,909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Users/maxime/Project/Pick_Crater/pick_crater_2D/DATA_SAR_AMPLI_NYIR21_FOR_PICKING/Data/Capella/,Capella_20210523_Thres_Crop.r4,20210523,19:28:48,1.664597065,1.49896229,30.23,1.0,236,578,224.0,411.0,405.0,639.0,57.0,130.0,349.0,628.0,580.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Users/maxime/Project/Pick_Crater/pick_crater_2D/DATA_SAR_AMPLI_NYIR21_FOR_PICKING/Data/Capella/,Capella_20210526_Thres_Crop.r4,20210526,04:39:45,1.663808223,1.638707168,34.4,1.0,300,339,423.0,445.0,424.0,445.0,575.0,590.0,642.0,643.0,178.0,967.0,292.0,853.0,343.0,767.0,420.0,651.0,475.0,529.0
/Users/maxime/Project/Pick_Crater/pick_crater_2D/DATA_SAR_AMPLI_NYIR21_FOR_PICKING/Data/ICEYE/,20191220_SLCData.VV.mod_Thres_Crop.r4,20191220,12:49:21,0.18,0.42,41.27,1.0,1255,3938,976.0,3650.0,1864.0,3839.0,154.0,537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
