folder,img_name,day,hour_UTC,azimuth_pixel_size,range_pixel_size,incidence_angle_deg,expo_greyscale,caldera_center_x,caldera_center_y,caldera_semiaxis_x,caldera_semiaxis_y,crater_center_x,crater_center_y,crater_semiaxis_x,crater_semiaxis_y,crater_layover_edge_x,crater_layover_edge_y,crater_layover_bottom_x,crater_layover_bottom_y,bottom_crater_center_x,bottom_crater_center_y,bottom_crater_semiaxis_x,bottom_crater_semiaxis_y,tilt_crater_center_x,tilt_crater_center_y,tilt_crater_semiaxis_b_x,tilt_crater_semiaxis_b_y,tilt_crater_semiaxis_a_x,tilt_crater_semiaxis_a_y
/home/delphine/Documents/Nyir2021/CraterDepth/Process/ALOS2A/,200730_crop_Thres_Crop.r4,20200730,22:20:29,13.06,8.58,40.18,0.75,77,74,50,51,90.0,73.0,8.0,8.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/delphine/Documents/Nyir2021/CraterDepth/Process/ALOS2A/,210603_crop_Thres_Crop.r4,20210603,22:20:29,13.06,8.58,40.18,1.0,77,74,50,51,89.0,81.0,28.0,29.0,61.0,80.0,141.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/delphine/Documents/Nyir2021/CraterDepth/Process/ALOS2D/,200306_crop_Thres_Crop.r4,20200306,09:41:00,13.0,8.6,41.0,1.0,82,75,51,51,107.0,75.0,9.0,9.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/delphine/Documents/Nyir2021/CraterDepth/Process/ALOS2D/,210528_crop_Thres_Crop.r4,20210528,09:41:00,13.0,8.6,41.0,1.0,82,75,51,51,106.0,71.0,29.0,29.0,77.0,71.0,156.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/delphine/Documents/Nyir2021/CraterDepth/Process/CSKA/,20210516.HH.mod_Thres_Crop.r4,20210516,04:03:41,2.26,1.25,34.95,1.0,389,454,306,299,489.0,451.0,49.0,47.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/delphine/Documents/Nyir2021/CraterDepth/Process/CSKA/,20210523.HH.mod_Thres_Crop.r4,20210523,04:03:41,2.26,1.25,34.95,1.0,389,454,306,299,471.0,477.0,76.0,76.0,395.0,472.0,589.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/delphine/Documents/Nyir2021/CraterDepth/Process/CSKA/,20210601.HH.mod_Thres_Crop.r4,20210601,04:03:41,2.26,1.25,34.95,1.0,389,454,306,299,504.0,500.0,172.0,170.0,333.0,498.0,894.0,464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/delphine/Documents/Nyir2021/CraterDepth/Process/CSKA/,20210608.HH.mod_Thres_Crop.r4,20210608,04:03:41,2.26,1.25,34.95,1.0,389,454,306,299,507.0,496.0,172.0,170.0,336.0,488.0,866.0,478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/delphine/Documents/Nyir2021/CraterDepth/Process/CSKA/,20210609.HH.mod_Thres_Crop.r4,20210609,04:03:41,2.26,1.25,34.95,1.0,389,454,306,299,513.0,495.0,172.0,171.0,342.0,487.0,865.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/delphine/Documents/Nyir2021/CraterDepth/Process/CSKA/,20210703.HH.mod_Thres_Crop.r4,20210703,04:03:41,2.26,1.25,34.95,1.0,389,454,306,299,510.0,491.0,174.0,170.0,337.0,490.0,847.0,488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/delphine/Documents/Nyir2021/CraterDepth/Process/CSKD/,20210521.HH.mod_Thres_Crop.r4,20210521,15:37:30,2.21,0.93,26.09,1.0,395,902,321,307,625.0,926.0,42.0,39.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/delphine/Documents/Nyir2021/CraterDepth/Process/CSKD/,20210522.HH.mod_Thres_Crop.r4,20210522,15:37:30,2.21,0.93,26.09,1.0,395,902,321,307,626.0,926.0,45.0,42.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/delphine/Documents/Nyir2021/CraterDepth/Process/CSKD/,20210530.HH.mod_Thres_Crop.r4,20210530,15:37:30,2.21,0.93,26.09,1.0,395,902,321,307,629.0,885.0,170.0,160.0,458.0,887.0,1217.0,919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
